What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Age,Irish County,Device OS
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,I.think it is good as they get to promote their products and build an audience ,Yes,Yes,No,No,No,Yes,No,No,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Every few weeks ,In the past week ,Their website,9,Trust Completely ,No ,Neither,Male,36 53,Leinster,Android
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,They are ok in moderation. ,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the last month ,Their website,6,Trust Completely ,Yes ,Tagline,Male,36 53,Leinster,I OS
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,Aib,No,,,,,,,,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Distrust Somewhat,Distrust Completely ,Daily ,In the last month ,Their Instagram page,1,Neither Trust or Distrust ,No ,Hashtag ,Male,36 53,Connacht,Web
Yes,Yes,Yes,Yes,Yes,No,1 ,4-6 hours ,Takes away from my day ,Yes,Yes,Yes,No,Yes,No,No,No,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Every few days ,In the past week ,Their website,4,Trust Somewhat ,No ,Tagline,Male,36 53,Dublin,Web
Yes,Yes,No,No,No,No,1 ,1-2 hours ,"It's a great way to keep up to date with favourite brands, new products and offers!",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Every few weeks ,In the past week ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,Male,36 53,Leinster,Android
No,Yes,Yes,No,No,No,2,2-4 hours ,"Repetitive , cheap Chinese made, misleading , spam ",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Distrust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,In the last month ,A department store,3,Distrust Somewhat ,Yes ,Neither,Male,36 53,Dublin,I OS
Yes,Yes,No,No,Yes,No,1 ,2-4 hours ,Good for companies to engage with an online audience as allows them build a client database ,Yes,Yes,No,No,No,No,Yes,No,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Every few days ,In the past week ,Their website,7,Trust Somewhat ,Yes ,Tagline,Male,36 53,Dublin,Android
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,It depends. I like brands that hire the right people that can post stuff with personality. I like humour in the post and interesting and fun video posts. I don’t like when brands are self serving by trying to be politically correct when they have no history of this. Just promote your brand in an interesting way and avoid being cringey ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their website,2,Distrust Somewhat ,Yes ,Tagline,Male,36 53,Dublin,Web
Yes,Yes,Yes,Yes,Yes,No,2,4-6 hours ,It brings out more awareness for better result ,Yes,No,No,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the last month ,Their website,7,Trust Completely ,Yes ,Tagline,Male,36 53,Munster,Android
Yes,Yes,Yes,No,No,No,More than 2 ,1-2 hours ,It enhances their audience,No,,,,,,,,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last month ,Their website,6,Trust Somewhat ,Yes ,Tagline,Male,36 53,Dublin,Android
Yes,No,No,Yes,No,No,More than 2 ,1-2 hours ,It's intrusive ,No,,,,,,,,Neither Trust or Distrust ,Distrust Completely ,Distrust Somewhat,Distrust Completely ,Trust Somewhat ,Distrust Completely ,Distrust Completely ,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Distrust Completely ,Every few months ,In the last 18 months ,Their website,1,Neither Trust or Distrust ,I don't know ,Neither,Male,36 53,Dublin,Android
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,Allows me to stay connected to my interests and friends and family ,Yes,No,No,Yes,No,No,No,No,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last 6 months ,Their website,7,Neither Trust or Distrust ,Yes ,Tagline,Male,36 53,Munster,Web
Yes,Yes,No,Yes,No,No,1 ,Less than 1 hour ,It's advertising to pay for the content ,No,,,,,,,,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Never ,In the last 6 months ,Their website,7,Trust Somewhat ,No ,Hashtag ,Male,36 53,Dublin,Web
Yes,Yes,No,Yes,No,No,1 ,1-2 hours ,Great way to promote goods,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last month ,A department store,7,Trust Somewhat ,Yes ,Tagline,Male,36 53,Leinster,Web
Yes,Yes,Yes,No,No,No,2,4-6 hours ,Fine as long as its not constantly on screen,Yes,No,No,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Every few weeks ,In the past week ,Their website,5,Distrust Somewhat ,Yes ,Tagline,Male,36 53,Leinster,Web
Yes,Yes,Yes,Yes,Yes,No,1 ,1-2 hours ,I don’t follow them,Yes,No,No,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,A department store,5,Trust Somewhat ,I don't know ,Tagline,Male,36 53,Munster,I OS
Yes,Yes,Yes,Yes,Yes,No,1 ,Less than 1 hour ,advertising is fine,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Their website,5,Neither Trust or Distrust ,No ,Neither,Male,36 53,Munster,Web
Yes,Yes,Yes,Yes,Yes,No,1 ,4-6 hours ,No issue with them being on social media,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Completely ,Daily ,In the last 18 months ,Their website,8,Trust Somewhat ,Yes ,Tagline,Male,36 53,Dublin,Web
Yes,No,Yes,No,Yes,No,1 ,1-2 hours ,not a huge fan,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,5,Neither Trust or Distrust ,Yes ,Tagline,Male,36 53,Dublin,Web
Yes,No,No,No,No,No,1 ,1-2 hours ,No issue as can block anything not relevant to me ,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,5,Trust Somewhat ,No ,Tagline,Male,36 53,Connacht,Android
Yes,No,Yes,No,Yes,No,1 ,Less than 1 hour ,"I dislike social media but I feel I get better information about brands on social media. I use social media to interact with the brand I intend to buy. For example, if I want to eat out, I prefer going to their social media page rather than their website. 
",Yes,No,No,Yes,No,No,Yes,No,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Distrust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Every few months ,In the last 6 months ,Their website,9,Neither Trust or Distrust ,Yes ,Tagline,Male,36 53,Ulster ROI Only,Web
Yes,Yes,No,Yes,No,No,1 ,1-2 hours ,Great way to advertise goods,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Every few months ,In the last month ,A department store,7,Trust Somewhat ,Yes ,Tagline,Male,36 53,Leinster,Web
Yes,Yes,No,No,No,No,2,2-4 hours ,Great way to connect,Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Every few weeks ,In the last month ,Another of their social media accounts,7,Neither Trust or Distrust ,No ,Tagline,Male,36 53,Munster,Web
No,Yes,Yes,Yes,No,No,1 ,2-4 hours ,No problems with it to be honest,Yes,No,No,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last month ,Their website,8,Trust Somewhat ,Yes ,Tagline,Male,36 53,Leinster,Web
Yes,Yes,Yes,No,Yes,No,1 ,Less than 1 hour ,It can be a useful customer service option ,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last 6 months ,Their website,5,Distrust Somewhat ,Yes ,Tagline,Male,36 53,Leinster,Web
Yes,Yes,Yes,Yes,Yes,No,1 ,Less than 1 hour ,Can be informative ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the last month ,A department store,9,Trust Somewhat ,Yes ,Tagline,Male,36 53,Munster,Web
No,Yes,Yes,No,Yes,No,1 ,1-2 hours ,Clear information in small time ,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 18 months ,Their own retail shop,6,Trust Somewhat ,Yes ,Tagline,Male,36 53,Munster,I OS
No,No,No,No,Yes,No,1 ,Less than 1 hour ,None whatsoever ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last month ,Their website,7,Trust Somewhat ,Yes ,Tagline,Male,36 53,Leinster,Web
Yes,Yes,Yes,No,No,No,More than 2 ,Over 6 hours ,"They advertise very easy, get wuick to the clients.",Yes,Yes,No,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the past week ,Their own retail shop,10,Trust Somewhat ,Yes ,Tagline,Male,36 53,Dublin,Web
