What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Irish County,Device OS,Age
Yes,Yes,Yes,Yes,No,No,More than 2 ,2-4 hours ,I feel good ,Yes,Yes,Yes,Yes,Yes,No,No,No,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Daily ,In the past week ,Their Instagram page,10,Trust Completely ,Yes ,Tagline,Female,Dublin,I OS,23 35
Yes,No,Yes,No,No,No,1 ,1-2 hours ,Don’t mind as long as I get good deals ,Yes,No,No,Yes,No,No,No,No,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,Their website,4,Neither Trust or Distrust ,I don't know ,Tagline,Male,Dublin,I OS,56 65
Yes,Yes,Yes,Yes,No,No,2,1-2 hours ,I'm not interested in social media ads,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last month ,A department store,0,Trust Somewhat ,No ,Neither,Female,Dublin,Android,36 53
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,I like brands which are available in Ireland and are traceable but not the other ones,Yes,No,No,Yes,No,No,No,No,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last 6 months ,Their website,6,Distrust Somewhat ,I don't know ,Tagline,Male,Connacht,I OS,56 65
Yes,Yes,No,No,Yes,No,1 ,Less than 1 hour ,Brands have to be in social media due to marketing purposes ,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last 18 months ,Their website,6,Neither Trust or Distrust ,Yes ,Tagline,Male,Dublin,Web,23 35
No,Yes,No,Yes,No,No,2,1-2 hours ,Good it's the best way to advertise,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Every few months ,In the last 6 months ,Their Instagram page,6,Neither Trust or Distrust ,Yes ,Tagline,Female,Munster,Android,23 35
No,Yes,Yes,No,No,No,More than 2 ,1-2 hours ,"When done right, it can be great and really make you think differently in a good way about a brand. When done poorly it’s bland and boring or even annoying. ",Yes,No,No,Yes,No,No,No,No,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last month ,Their Instagram page,7,Distrust Somewhat ,Yes ,Tagline,Female,Leinster,Web,36 53
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,I think it’s super important. I rely on social media for most of my information ,Yes,Yes,Yes,Yes,No,No,Yes,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Every few months ,In the last month ,A department store,2,Trust Somewhat ,No ,Tagline,Female,Dublin,Web,23 35
Yes,Yes,Yes,Yes,No,No,More than 2 ,Less than 1 hour ,Smart marketing ,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Every few days ,In the last month ,Their website,9,Trust Completely ,Yes ,Tagline,Male,Leinster,Web,23 35
Yes,No,No,No,No,No,1 ,2-4 hours ,If it's on social media it's probably a good look,No,,,,,,,,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Never ,In the last month ,Other,7,Trust Somewhat ,Yes ,Tagline,Male,Dublin,Android,23 35
Yes,No,No,Yes,No,No,More than 2 ,1-2 hours ,It's intrusive ,No,,,,,,,,Neither Trust or Distrust ,Distrust Completely ,Distrust Somewhat,Distrust Completely ,Trust Somewhat ,Distrust Completely ,Distrust Completely ,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Distrust Completely ,Every few months ,In the last 18 months ,Their website,1,Neither Trust or Distrust ,I don't know ,Neither,Male,Dublin,Android,36 53
Yes,Yes,No,No,No,No,1 ,1-2 hours ,I do not agree with brands being on social media. There is too much advertising and pressure  to buy coming from all directions  these days.,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Every few months ,In the past week ,Their website,7,Trust Somewhat ,Yes ,Tagline,Female,Munster,Android,36 53
Yes,Yes,Yes,Yes,No,No,More than 2 ,2-4 hours ,Staying with the timed ,Yes,No,Yes,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the last 6 months ,Their Instagram page,7,Neither Trust or Distrust ,Yes ,Tagline,Male,Connacht,I OS,18 22
Yes,Yes,No,No,Yes,No,1 ,4-6 hours ,It's good. Makes me remember then and know about them.,No,,,,,,,,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Completely ,Never ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,Female,Leinster,Android,23 35
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,I like looking at the advertising sometimes coz they are interesting to me. But sometimes there can be too many,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,Female,Leinster,Web,36 53
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,Allows me to stay connected to my interests and friends and family ,Yes,No,No,Yes,No,No,No,No,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last 6 months ,Their website,7,Neither Trust or Distrust ,Yes ,Tagline,Male,Munster,Web,36 53
Yes,No,No,Yes,No,No,More than 2 ,2-4 hours ,Good ,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Every few weeks ,In the last 6 months ,Their website,6,Trust Somewhat ,Yes ,Tagline,Male,Leinster,Android,56 65
Yes,No,No,No,Yes,No,1 ,1-2 hours ,They help promoting them on a world wide scale. ,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Never ,In the last 18 months ,A department store,2,Trust Somewhat ,Yes ,Neither,Female,Connacht,Web,36 53
Yes,Yes,No,Yes,No,No,1 ,Less than 1 hour ,It's advertising to pay for the content ,No,,,,,,,,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Never ,In the last 6 months ,Their website,7,Trust Somewhat ,No ,Hashtag ,Male,Dublin,Web,36 53
Yes,Yes,No,Yes,No,No,1 ,1-2 hours ,I think it s good as everyone is on social media now. Great free advertising ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the last month ,A department store,5,Trust Somewhat ,Yes ,Tagline,Female,Ulster ROI Only,I OS,56 65
Yes,No,Yes,No,No,No,1 ,1-2 hours ,Being totally honest. It doesn’t matter to me. Neither good or bad,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Every few months ,In the last 6 months ,A department store,7,Trust Somewhat ,I don't know ,Tagline,Male,Leinster,I OS,56 65
Yes,Yes,Yes,No,No,No,1 ,1-2 hours ,I like to see new brands. They can be very interesting. Sometimes there are too many but it’s not a problem for me ,No,,,,,,,,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Every few months ,In the last 18 months ,Their website,9,Trust Somewhat ,Yes ,Tagline,Female,Leinster,I OS,56 65
Yes,Yes,No,Yes,No,No,1 ,1-2 hours ,Great way to promote goods,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last month ,A department store,7,Trust Somewhat ,Yes ,Tagline,Male,Leinster,Web,36 53
Yes,No,No,Yes,No,No,I do not have social media ,Less than 1 hour ,I huess the money has to come from somewhere.,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,A department store,5,Neither Trust or Distrust ,Yes ,Neither,Female,Leinster,Android,56 65
Yes,Yes,Yes,No,No,No,2,4-6 hours ,Fine as long as its not constantly on screen,Yes,No,No,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Every few weeks ,In the past week ,Their website,5,Distrust Somewhat ,Yes ,Tagline,Male,Leinster,Web,36 53
Yes,Yes,Yes,No,No,No,1 ,1-2 hours ,I think it's good. I get a lot of inspiration ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the past week ,Their Instagram page,7,Neither Trust or Distrust ,Yes ,Tagline,Female,Dublin,Android,23 35
Yes,Yes,No,No,Yes,No,1 ,1-2 hours ,"Yes, good.  Good marketing tool, and great way to interact with the different companies/ brands",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last 6 months ,Their own retail shop,3,Trust Somewhat ,Yes ,Tagline,Female,Dublin,I OS,56 65
Yes,Yes,Yes,Yes,Yes,No,1 ,1-2 hours ,I don’t follow them,Yes,No,No,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last 6 months ,A department store,5,Trust Somewhat ,I don't know ,Tagline,Male,Munster,I OS,36 53
Yes,Yes,No,No,No,No,1 ,Less than 1 hour ,Good positive outreach ,No,,,,,,,,Trust Completely ,Trust Completely ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the past week ,Their own retail shop,8,Trust Somewhat ,Yes ,Tagline,Male,Dublin,Web,23 35
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,I’m ok with brands on social media as it’s a way of getting there name out advertising ,Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the last month ,Their website,8,Trust Somewhat ,Yes ,Tagline,Female,Connacht,I OS,36 53
Yes,Yes,Yes,Yes,No,No,1 ,1-2 hours ,"Good. Nice to see options of what's out there
",Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Daily ,In the last month ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,Male,Connacht,Web,23 35
Yes,Yes,Yes,Yes,No,No,More than 2 ,2-4 hours ,It helps me get a better review for them in comments,Yes,Yes,Yes,No,Yes,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Every few days ,In the past week ,Their own retail shop,7,Trust Completely ,Yes ,Tagline,Male,Ulster ROI Only,I OS,23 35
No,No,No,No,Yes,No,1 ,Less than 1 hour ,dont care,No,,,,,,,,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the past week ,Their website,9,Distrust Somewhat ,Yes ,Neither,Female,Dublin,Android,18 22
Yes,No,No,Yes,No,No,1 ,1-2 hours ,good way to advertise,No,,,,,,,,Trust Completely ,Distrust Somewhat,Distrust Completely ,Neither Trust or Distrust ,Distrust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,I only ever buy from brands I'm familiar with,,2,Distrust Completely ,No ,Neither,Male,Dublin,Web,18 22
Yes,Yes,Yes,Yes,No,No,1 ,4-6 hours ,Too much advertising,Yes,Yes,Yes,Yes,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last month ,Their website,6,Neither Trust or Distrust ,Yes ,Tagline,Female,Dublin,Android,36 53
No,Yes,No,No,No,No,1 ,2-4 hours ,It’s good for exposure! Great for business,No,,,,,,,,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Never ,In the last 6 months ,Their Instagram page,7,Trust Somewhat ,No ,Tagline,Female,Munster,Web,23 35
Yes,Yes,Yes,Yes,Yes,No,1 ,Less than 1 hour ,advertising is fine,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Their website,5,Neither Trust or Distrust ,No ,Neither,Male,Munster,Web,36 53
Yes,Yes,Yes,Yes,Yes,No,1 ,4-6 hours ,No issue with them being on social media,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Completely ,Daily ,In the last 18 months ,Their website,8,Trust Somewhat ,Yes ,Tagline,Male,Dublin,Web,36 53
Yes,Yes,Yes,Yes,No,No,More than 2 ,Over 6 hours ,Good advertising if done right,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,6,Neither Trust or Distrust ,Yes ,Tagline,Female,Connacht,I OS,18 22
Yes,Yes,No,No,Yes,No,2,2-4 hours ,All good once they're transparent with how they do business etc...,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Never ,In the past week ,Another of their social media accounts,6,Trust Somewhat ,Yes ,Hashtag ,Female,Dublin,Android,36 53
Yes,No,Yes,No,Yes,No,1 ,1-2 hours ,not a huge fan,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,5,Neither Trust or Distrust ,Yes ,Tagline,Male,Dublin,Web,36 53
Yes,No,No,No,No,No,1 ,1-2 hours ,No issue as can block anything not relevant to me ,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,5,Trust Somewhat ,No ,Tagline,Male,Connacht,Android,36 53
Yes,Yes,No,Yes,No,No,1 ,2-4 hours ,Get tired of celebrities promoting brands on their page ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,2,Trust Somewhat ,No ,Neither,Female,Dublin,Web,36 53
